eyebrow_eye_dist,mouth_nose_dist,inner_outer_lip_dist,eye_width,eye_height,eyebrow_arch,mouth_corner_angle,nose_bridge_angle,eye_aspect_ratio,mouth_aspect_ratio,mouth_area,eye_area,eye_height_symmetry,mouth_corner_symmetry,face_width_height_ratio,lower_upper_face_ratio,top_lip_curvature,nose_wrinkle,brow_inner_distance,left_brow_slope,right_brow_slope,cheek_distance,vertical_mouth_openness,left_eye_openness,right_eye_openness,eye_openness_ratio,forehead_height,emotion,image_path
0.2689887521913523,0.24785771543160826,0.0330476953908811,0.48626177306610524,0.17012342437825634,66.9672434068129,174.8055710922652,180.0,0.3498597541516569,0.05121475197315839,0.7021160409556313,0.2544709897610921,0.007382398087326086,0.015024770616815421,0.9015243056280914,1.0,-0.049571543086321654,0.5618108216449788,1.0084963294015412,0.5,-0.42857142857142855,1.6861613006295137,0.0330476953908811,0.17012342437825634,0.16274102629093024,1.0453628581285255,0.0,Angry,dataset\Angry\03a1406d10206dcb781bb9861b5e483a9f921eab92470374e24b934e~angry.png
0.2531113746772359,0.5024659423387555,0.22955831879964667,0.449471897539456,0.13238655704233387,60.40625024458143,142.44915044715233,180.0,0.29453800730826024,0.29228250902110076,0.798863165373912,0.225768251524661,0.005014749029477382,0.061675628406685924,0.8362053228378372,1.0,0.05441053977650652,0.4575664363104781,0.8738949273964891,0.47619047619047616,-0.3,1.6827553539203175,0.22955831879964667,0.13238655704233387,0.1273718080128565,1.0393709495665728,0.010882107955301304,Angry,dataset\Angry\0b28e63838a65c8cdbc04a1af984da203b1550d80ca865e2d04af268~angry.png
0.2869338325370023,0.18731885629086656,0.012028892009566281,0.4511235448835344,0.142581699871975,56.25891220298812,159.4305679162879,179.76225954070702,0.31605909620342476,0.018107149208503707,0.8782217077538027,0.2729656893776339,0.005964158549307278,0.006080308168564728,0.8860100149340071,1.0,0.0,0.5279710778979718,0.8856156864358297,0.4642857142857143,-0.5384615384615384,1.727999636924593,0.012028892009566281,0.142581699871975,0.1485458584212823,0.9598497150126347,-0.06804568888099995,Angry,dataset\Angry\0ecdcc073375c2b95ff645e662a1e210bebbe9540b92315f6a8f0ae4~angry.png
0.2441309433659828,0.31364119324907175,0.0321113755751464,0.4204015599919176,0.14143593801352367,47.87877596809038,148.97895916436505,179.21517539700784,0.3364305737025401,0.04471241796047326,0.9857702619096721,0.3523406888018148,0.002170499260583853,0.10222347030243202,0.7939075285781528,1.0,0.0,0.505894314593114,0.8505575428128312,0.25,-0.7857142857142857,1.6729995857563797,0.0321113755751464,0.14143593801352367,0.14360643727410752,0.9848857801796104,-0.17232772472892902,Angry,dataset\Angry\1b98d3021d7f398522654d59365801c588ef2774eb0fe43410ed5ac0~angry.png
0.22742854131417087,0.5653291655176484,0.3336360101694678,0.4179566899439891,0.10482703712026864,51.651829697467114,145.48271429827093,179.90706288846013,0.25080837235627607,0.39925892407906866,0.692444975966514,0.27836986269864994,0.004531303062207835,0.1214830866882739,0.8664539467053307,1.0,0.06112376481188506,0.44099926047340765,0.8319752354992747,0.21782178217821782,-0.6224489795918368,1.6879078502473444,0.3336360101694678,0.10482703712026864,0.10935834018247648,0.9585646320651278,-0.1501285451519984,Angry,dataset\Angry\295f94b25bd4406ecebe9791a9531b38c6e5ce69fd37ead8f4f9ffdb~angry.png
0.26417389929417884,0.27639642310980156,0.026495432610313428,0.4189295732004546,0.1109314491195252,53.02230233175573,134.50893797213973,179.79012628842844,0.26479736981100005,0.04386034396293815,0.7118154132039437,0.22815258349248957,0.01736622014811725,0.035564750913352296,0.8637497942648988,1.0,0.04498260416125285,0.4505598529349418,0.8426998175515523,0.5625,-0.4166666666666667,1.6651501212935786,0.026495432610313428,0.1109314491195252,0.09356522897140795,1.1856054897639814,-0.03855651785250244,Angry,dataset\Angry\3d27d2abed9890c2a0a7009a295b7b6b3f9ffebb1f08ba30f26dddaf~angry.png
0.1862315465742749,0.2934408007994078,0.025205987845037286,0.4375211469616355,0.15669745631619475,57.006272503457296,151.52822354297797,179.863905767789,0.3581483030120483,0.0381621837152015,0.7321006456194116,0.21599753337880387,0.0063289280338206634,0.02670991721964046,0.830655224556488,1.0,-0.00611335001665433,0.5202098073408356,0.8988495763341184,0.5142857142857142,-0.43243243243243246,1.6146652464850584,0.025205987845037286,0.15669745631619475,0.1503685282823741,1.0420894458841525,-0.01834005004996299,Angry,dataset\Angry\4cd6842e6a65c35d47544fa8505fcfb9b24c8104dcdf4ff0ca5433a4~angry.png
0.14449082376547287,0.2284600520464406,0.04900864796194378,0.425622760682609,0.15044199698646263,49.752048048732846,176.53050713303963,175.9143832200252,0.35346323289944703,0.0782983369459275,0.5355658198614318,0.2177829099307159,0.004045717423947918,0.17192631633224548,0.8800221742735509,1.0,-0.043251239819899145,0.5574604243453668,0.8844564881585343,0.5217391304347826,-0.5833333333333334,1.655420099064884,0.04900864796194378,0.15044199698646263,0.1463962795625147,1.0276353841507313,-0.05766831975986553,Angry,dataset\Angry\4cd8bb2bd8dcd4a03b74bbcb7fb9f92b5e37fe3773da2c69282010cc~angry.png
0.2926836463046053,0.21451736320177964,0.018814417367671945,0.5166262235574736,0.15514766018273363,70.63418246128965,170.90004964021625,178.99491399474584,0.3003093012088919,0.02499219116020307,1.168495575221239,0.28920353982300884,0.005602792272622662,0.24256902939283412,0.8348763581757321,1.0,-0.047036043419179864,0.5485298130021853,0.8518589770696553,0.5384615384615384,-0.45454545454545453,1.697056274847714,0.018814417367671945,0.15514766018273363,0.1607504524553563,0.9651460248662213,0.018814417367671945,Angry,dataset\Angry\4fd40209bcd9ab02d10a3553c6b97c1d8987d0c182804319f99ddb2b~angry.png
0.1811626875105301,0.25269184428434804,0.019116886109035534,0.4349995988244887,0.17430877903689307,49.54708954400803,157.2676645131363,180.0,0.4007102064184253,0.029827130752077376,0.807377121988483,0.2593311659801689,0.002658709106370716,0.03750482610936125,0.8016586205734963,1.0,-0.012744590739357024,0.5512127579195932,0.8426863717262298,0.5223880597014925,-0.6197183098591549,1.64872906680866,0.019116886109035534,0.17430877903689307,0.17696748814326377,0.9849762849986414,-0.07009524906646362,Angry,dataset\Angry\4fd88a0a743c84a624347e2c761bcd7015a929d31b40f9a36e7ee259~angry.png
