,eyebrow_eye_dist,mouth_nose_dist,inner_outer_lip_dist,eye_width,eye_height,eyebrow_arch,mouth_corner_angle,nose_bridge_angle,eye_aspect_ratio,mouth_aspect_ratio,mouth_area,eye_area,eye_height_symmetry,mouth_corner_symmetry,face_width_height_ratio,lower_upper_face_ratio,top_lip_curvature,nose_wrinkle,brow_inner_distance,left_brow_slope,right_brow_slope,cheek_distance,vertical_mouth_openness,left_eye_openness,right_eye_openness,eye_openness_ratio,forehead_height
eyebrow_eye_dist,1.0,0.299309873479819,0.16238794820914168,0.33950488766990694,0.13518135286433855,0.2641649302114774,-0.42007346280137775,-0.07514567874219648,-0.0022111829439498553,0.17566743972486962,0.2939654550014678,0.16312212266415543,0.10035604507360484,0.3405887342259549,-0.4244615140984746,,0.31844028572117283,0.04453603798664255,0.27034040478287535,-0.06005382440340011,-0.061187065370886216,0.19294713037573544,0.16238794820914168,0.13518135286433855,0.1080470580874475,0.06639836212940681,0.08023807208479185
mouth_nose_dist,0.299309873479819,1.0,0.9502805684055081,-0.002417087701494062,0.015880905800109812,0.0037488664328769383,-0.49987377006705425,-0.08390272077234179,0.028161157743755025,0.9482380171454007,-0.10151353687723295,0.06586902042767177,0.054391747364181245,0.1937986245108343,-0.37749749371799796,,0.6391399756668493,-0.15457724161885242,0.008514156829370064,-0.06495824820307629,0.08032247686631115,0.13579991041083223,0.9502805684055081,0.015880905800109812,0.020988928824446383,-0.008174433224833542,-0.02940785432909937
inner_outer_lip_dist,0.16238794820914165,0.9502805684055081,1.0,0.015859244662603047,-0.03372450043503517,0.04453124790007239,-0.28384710253557305,-0.07017294541890058,-0.0439219848163778,0.9691337552839728,-0.08766061893902428,0.0700657120186246,0.00867153598239989,0.08475306888016476,-0.23485328966073013,,0.5113760481458686,-0.1849567757136771,0.027136149944757035,-0.07232653105900062,0.08953455577986326,0.11604039935067428,1.0,-0.03372450043503517,-0.03381459428482177,0.001573002288570245,-0.012350838831221811
eye_width,0.33950488766990694,-0.002417087701494062,0.015859244662603047,1.0,0.29575187895363153,0.8506255962087268,0.056504433496658776,0.012731337507373885,-0.2017494509239375,0.02179763147885885,0.6802590961188129,0.4355830972261483,-0.003881905240058569,0.12099532869587011,-0.07414544368371451,,-0.05563471578493501,0.1613449424778994,0.15544784180011642,-0.09867264280517533,-0.24795096789014254,0.061870694997813,0.015859244662603047,0.29575187895363153,0.15774418065634674,0.30152977143983906,0.34106533025330293
eye_height,0.13518135286433855,0.015880905800109812,-0.03372450043503517,0.29575187895363153,1.0,0.02068823563102424,-0.06727385414180817,0.10806543621030229,0.8624267555720008,0.04888309736019477,0.019742792866015338,0.05980340654008827,0.0025878903928845476,0.15857517947814564,-0.38974910541558655,,-0.09420084258222391,0.42643363181209104,0.48375581763308767,0.2047600128550741,-0.18423652660552603,-0.13818545568309887,-0.03372450043503517,1.0,0.9283771484699685,0.163622922480989,0.13828792582567923
eyebrow_arch,0.2641649302114774,0.0037488664328769383,0.04453124790007239,0.8506255962087267,0.02068823563102424,1.0,-0.053931807908431724,0.017642532289777167,-0.4102570159406022,0.06954664270641489,0.502840676806578,0.26908291494340686,-0.07603786581463574,-0.18237443265096095,0.255373158557645,,0.1396526740668905,-0.23120788840966452,0.1288804853780072,-0.23384827538728004,-0.04965801012779055,-0.04271347842163806,0.04453124790007239,0.02068823563102424,-0.11733045590238134,0.2970889843016335,0.3153833797154044
mouth_corner_angle,-0.42007346280137775,-0.49987377006705425,-0.28384710253557305,0.056504433496658776,-0.06727385414180817,-0.053931807908431724,1.0,0.06122420866027689,-0.1251983880098534,-0.40267334254830395,0.21891678105070014,0.09527862039172169,-0.06516551210712095,-0.13093091070720989,0.14117622541563254,,-0.8704264749736058,0.3258377985247289,0.04170893503596204,0.14361067865218852,-0.11725753157665862,-0.13200971648572016,-0.28384710253557305,-0.06727385414180817,-0.07196323195969558,0.0060246180579490586,0.07118960913304127
nose_bridge_angle,-0.07514567874219646,-0.08390272077234179,-0.07017294541890058,0.012731337507373887,0.10806543621030228,0.01764253228977717,0.06122420866027689,1.0,0.09725139358829804,-0.05395832524139559,-0.07659014173612029,-0.09490418217020387,-0.20967320124223573,-0.11322315849817448,0.029873675228395045,,-0.07305252926753437,0.041272382022318546,0.12938480703921398,-0.02720088733666261,0.019941319011288334,-0.11432705697728865,-0.07017294541890058,0.10806543621030228,0.0978705301354192,0.003995533647309731,0.018153736135916296
eye_aspect_ratio,-0.0022111829439498553,0.028161157743755025,-0.04392198481637781,-0.2017494509239375,0.8624267555720008,-0.4102570159406022,-0.1251983880098534,0.09725139358829803,1.0,0.03306856970974126,-0.30062131334273107,-0.14405927804023494,0.02293245195856049,0.1623477214438208,-0.39378723959416717,,-0.066567790980987,0.3964011968944669,0.3859050223050468,0.29736404522123566,-0.07533164885243065,-0.14888490223649775,-0.04392198481637781,0.8624267555720008,0.8633837127399918,0.01865535312036574,-0.025807813031111525
mouth_aspect_ratio,0.17566743972486962,0.9482380171454007,0.9691337552839728,0.02179763147885885,0.04888309736019477,0.06954664270641489,-0.4026733425483039,-0.053958325241395586,0.03306856970974126,1.0,-0.1700913897390727,0.04442243243958689,0.0030361895404576364,0.04514100338801569,-0.221494582856163,,0.5907436351664406,-0.20946925568900998,0.11190658935163014,-0.07804005033940266,0.10068439705896402,0.06271840146980728,0.9691337552839728,0.04888309736019477,0.044556057066457204,0.008202436283371856,0.0005369064722957764
